Consulta:
SELECT title, rating
FROM Movies
WHERE rating > (SELECT AVG(rating) FROM Movies);
------------------------------
('Guardians of the Galaxy', 8.1)
('Prometheus', 7.0)
('Split', 7.3)
('Sing', 7.2)
('La La Land', 8.3)
('The Lost City of Z', 7.1)
('Passengers', 7.0)
('Fantastic Beasts and Where to Find Them', 7.5)
('Hidden Figures', 7.8)
('Rogue One', 7.9)
('Moana', 7.7)
('Hacksaw Ridge', 8.2)
('Lion', 8.1)
('Arrival', 8.0)
('Manchester by the Sea', 7.9)
('Paris pieds nus', 6.8)
('Bahubali: The Beginning', 8.3)
('Nocturnal Animals', 7.5)
('X-Men: Apocalypse', 7.1)
('Deadpool', 8.0)
('Captain America: Civil War', 7.9)
('Interstellar', 8.6)
('Doctor Strange', 7.6)
('The Magnificent Seven', 6.9)
('5- 25- 77', 7.1)
('Moonlight', 7.5)
('The Founder', 7.2)
('Miss Sloane', 7.3)
('Star Trek Beyond', 7.1)
('Star Wars: Episode VII - The Force Awakens', 8.1)
('John Wick', 7.2)
('The Dark Knight', 9.0)
('Silence', 7.3)
("Don't Breathe", 7.2)
('Me Before You', 7.4)
('Their Finest', 7.0)
('Sully', 7.5)
('The Autopsy of Jane Doe', 6.8)
('The Prestige', 8.5)
('Kingsman: The Secret Service', 7.7)
('Patriots Day', 7.4)
('Mad Max: Fury Road', 8.1)
('Wakefield', 7.5)
('Deepwater Horizon', 7.2)
('Allied', 7.1)
('A Monster Calls', 7.5)
('Collateral Beauty', 6.8)
('Zootopia', 8.1)
("Pirates of the Caribbean: At World's End", 7.1)
('The Avengers', 8.1)
('Inglourious Basterds', 8.3)
("Pirates of the Caribbean: Dead Man's Chest", 7.3)
('Inception', 8.8)
('Captain Fantastic', 7.9)
('The Wolf of Wall Street', 8.2)
('Gone Girl', 8.1)
('Furious Seven', 7.2)
('Jurassic World', 7.0)
('Avatar', 7.8)
('The Hateful Eight', 7.8)
('The Accountant', 7.4)
('Prisoners', 8.1)
('Warcraft', 7.0)
('The Help', 8.1)
('War Dogs', 7.1)
('Avengers: Age of Ultron', 7.4)
('The Nice Guys', 7.4)
('Kimi no na wa', 8.6)
('The Departed', 8.5)
('Legend', 7.0)
('Thor', 7.0)
('The Martian', 8.0)
('Contratiempo', 7.9)
('The Man from U.N.C.L.E.', 7.3)
('Hell or High Water', 7.7)
('Ex Machina', 7.7)
('12 Years a Slave', 8.1)
('300', 7.7)
('Harry Potter and the Deathly Hallows: Part 2', 8.1)
('Dangal', 8.8)
('10 Cloverfield Lane', 7.2)
('Finding Dory', 7.4)
('Boyka: Undisputed IV', 7.4)
('The Dark Knight Rises', 8.5)
('The Jungle Book', 7.5)
('The Revenant', 8.0)
('Fences', 7.3)
('Whiplash', 8.5)
('Furious 6', 7.1)
